,Weather City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
375,puerto penasco,42,ES,1587252507,82,36.59,-6.23,62.6,8.05
376,kaduqli,65,SD,1587252507,15,11.02,29.72,76.59,5.55
377,quelimane,75,MZ,1587252507,88,-17.88,36.89,78.8,6.93
378,griffith,1,US,1587252507,43,41.53,-87.42,57.2,23.04
379,madang,100,PG,1587252507,77,-5.22,145.8,81.19,3.51
380,maningrida,100,AU,1587252508,73,-12.07,134.27,81.03,4.94
381,athabasca,35,CA,1587252508,50,54.72,-113.29,43.59,7.36
382,mogwase,0,ZA,1587252508,38,-25.18,27.27,63.68,1.16
383,peru,1,US,1587252508,62,40.75,-86.07,54.0,17.22
384,valparaiso,83,CL,1587252508,68,-33.04,-71.63,71.6,13.87
385,ostrovnoy,98,RU,1587252508,98,68.05,39.51,31.75,9.89
386,aksarka,100,RU,1587252508,96,66.56,67.8,32.41,4.74
388,bumba,92,CD,1587252509,83,2.18,22.47,70.48,1.34
